Genome	level
GCA_019869565.1_PDT001122434.1_genomic	clu5
GCA_019869585.1_PDT001122433.1_genomic	clu5
GCA_019869605.1_PDT001122432.1_genomic	clu5
GCA_019869625.1_PDT001122430.1_genomic	clu1
GCA_019869645.1_PDT001122429.1_genomic	clu1
GCA_019869665.1_PDT001122431.1_genomic	clu2
GCA_019869685.1_PDT001122427.1_genomic	clu5
GCA_019869705.1_PDT001122419.1_genomic	clu5
GCA_019869725.1_PDT001122424.1_genomic	clu5
GCA_019869745.1_PDT001122420.1_genomic	clu5
GCA_019869765.1_PDT001122418.1_genomic	clu5
GCA_019869785.1_PDT001122417.1_genomic	clu5
GCA_019869805.1_PDT001122415.1_genomic	clu5
GCA_019869845.1_PDT001122413.1_genomic	clu1
GCA_019871425.1_PDT001122519.1_genomic	clu1
GCA_019871445.1_PDT001122518.1_genomic	clu1
GCA_019871485.1_PDT001122517.1_genomic	clu1
GCA_019871505.1_PDT001122509.1_genomic	clu2
GCA_019871525.1_PDT001122506.1_genomic	clu1
GCA_019871545.1_PDT001122503.1_genomic	clu3
GCA_019871565.1_PDT001122502.1_genomic	clu3
GCA_019871585.1_PDT001122504.1_genomic	clu3
GCA_019871605.1_PDT001122501.1_genomic	clu3
GCA_019871625.1_PDT001122499.1_genomic	clu3
GCA_019871645.1_PDT001122500.1_genomic	clu3
GCA_019871665.1_PDT001122498.1_genomic	clu3
GCA_019871685.1_PDT001122497.1_genomic	clu3
GCA_019871705.1_PDT001122495.1_genomic	clu3
GCA_019871725.1_PDT001122494.1_genomic	clu3
GCA_019871745.1_PDT001122496.1_genomic	clu3
GCA_019871765.1_PDT001122492.1_genomic	clu5
GCA_019871785.1_PDT001122493.1_genomic	clu5
GCA_019871805.1_PDT001122491.1_genomic	clu5
GCA_019871825.1_PDT001122490.1_genomic	clu5
GCA_019871845.1_PDT001122487.1_genomic	clu2
GCA_019871865.1_PDT001122486.1_genomic	clu2
GCA_019871885.1_PDT001122481.1_genomic	clu3
GCA_019871905.1_PDT001122484.1_genomic	clu3
GCA_019871925.1_PDT001122483.1_genomic	clu3
GCA_019871945.1_PDT001122479.1_genomic	clu3
GCA_019871965.1_PDT001122480.1_genomic	clu3
GCA_019871985.1_PDT001122478.1_genomic	clu3
GCA_019872005.1_PDT001122439.1_genomic	clu5
GCA_019872085.1_PDT001122436.1_genomic	clu5
GCA_019873485.1_PDT001122463.1_genomic	clu1
GCA_019874505.1_PDT001122428.1_genomic	clu5
GCA_019876805.1_PDT001122423.1_genomic	clu5
GCA_019877245.1_PDT001122482.1_genomic	clu3
GCA_019877265.1_PDT001122448.1_genomic	clu1
GCA_019877305.1_PDT001122437.1_genomic	clu5
GCA_019877725.1_PDT001122443.1_genomic	clu2
GCA_020123895.1_PDT001136531.1_genomic	clu2
GCA_020128145.1_PDT001136532.1_genomic	clu2
GCA_020138375.1_ASM2013837v1_genomic	clu2
GCA_020138395.1_ASM2013839v1_genomic	clu3
GCA_020138415.1_ASM2013841v1_genomic	clu3
GCA_020138435.1_ASM2013843v1_genomic	clu2
GCA_020138455.1_ASM2013845v1_genomic	clu5
GCA_020138475.1_ASM2013847v1_genomic	clu2
GCA_020138495.1_ASM2013849v1_genomic	clu2
GCA_020138515.1_ASM2013851v1_genomic	clu2
GCA_020138535.1_ASM2013853v1_genomic	clu1
GCA_020138555.1_ASM2013855v1_genomic	clu1
GCA_020138575.1_ASM2013857v1_genomic	clu1
GCA_020138595.1_ASM2013859v1_genomic	clu5
GCA_020138615.1_ASM2013861v1_genomic	clu1
GCA_020138635.1_ASM2013863v1_genomic	clu1
GCA_020138655.1_ASM2013865v1_genomic	clu1
GCA_020138675.1_ASM2013867v1_genomic	clu1
GCA_020138695.1_ASM2013869v1_genomic	clu1
GCA_020138715.1_ASM2013871v1_genomic	clu2
GCA_020138735.1_ASM2013873v1_genomic	clu2
GCA_020138755.1_ASM2013875v1_genomic	clu1
GCA_020138795.1_ASM2013879v1_genomic	clu2
GCA_020139235.1_ASM2013923v1_genomic	clu3
GCA_020139255.1_ASM2013925v1_genomic	clu4
GCA_020139275.1_ASM2013927v1_genomic	clu3
GCA_020139295.1_ASM2013929v1_genomic	clu1
GCA_021560735.1_ASM2156073v1_genomic	clu3
GCA_022808975.1_ASM2280897v1_genomic	clu2
GCA_025090645.1_PDT001412088.1_genomic	clu1
GCA_025090685.1_PDT001412082.1_genomic	clu1
GCA_025090765.1_PDT001412069.1_genomic	clu1
GCA_025091705.1_PDT001412085.1_genomic	clu1
GCA_025091725.1_PDT001412090.1_genomic	clu1
GCA_025091765.1_PDT001412083.1_genomic	clu1
GCA_025093685.1_PDT001412098.1_genomic	clu1
GCA_025093705.1_PDT001412097.1_genomic	clu2
GCA_025093745.1_PDT001412086.1_genomic	clu2
GCA_025095835.1_PDT001412110.1_genomic	clu2
GCA_025677705.1_ASM2567770v1_genomic	clu1
GCA_026072755.1_ASM2607275v1_genomic	clu4
GCA_027686885.1_ASM2768688v1_genomic	clu1
GCA_029233855.1_ASM2923385v1_genomic	clu2
GCA_029460585.1_ASM2946058v1_genomic	clu2
GCA_029460625.1_ASM2946062v1_genomic	clu4
GCA_029461415.1_ASM2946141v1_genomic	clu2
GCA_029461435.1_ASM2946143v1_genomic	clu2
GCA_029461445.1_ASM2946144v1_genomic	clu2
GCA_029465875.1_ASM2946587v1_genomic	clu4
GCA_029541585.1_ASM2954158v1_genomic	clu1
GCA_029580675.1_ASM2958067v1_genomic	clu1
GCA_029580775.1_ASM2958077v1_genomic	clu1
GCA_029580895.1_ASM2958089v1_genomic	clu1
GCA_029783485.1_ASM2978348v1_genomic	clu1
GCA_029783525.1_ASM2978352v1_genomic	clu1
GCA_029783765.1_ASM2978376v1_genomic	clu1
GCA_029783785.1_ASM2978378v1_genomic	clu1
GCA_029874005.1_ASM2987400v1_genomic	clu1
GCA_029874125.1_ASM2987412v1_genomic	clu3
GCA_029874145.1_ASM2987414v1_genomic	clu3
GCA_029874305.1_ASM2987430v1_genomic	clu1
GCA_029874345.1_ASM2987434v1_genomic	clu1
GCA_029874675.1_ASM2987467v1_genomic	clu2
GCA_029874715.1_ASM2987471v1_genomic	clu2
GCA_029874775.1_ASM2987477v1_genomic	clu3
GCA_029874795.1_ASM2987479v1_genomic	clu2
GCA_030120095.1_ASM3012009v1_genomic	clu5
GCA_030120605.1_ASM3012060v1_genomic	clu5
GCA_030319775.1_ASM3031977v1_genomic	clu5
GCA_030319785.1_ASM3031978v1_genomic	clu5
GCA_030319885.1_ASM3031988v1_genomic	clu5
GCA_030319895.1_ASM3031989v1_genomic	clu5
GCA_031397105.1_PDT001794833.1_genomic	clu2
GCA_032249875.1_ASM3224987v1_genomic	clu2
GCA_032249935.1_ASM3224993v1_genomic	clu2
GCA_032249955.1_ASM3224995v1_genomic	clu2
GCA_032480035.1_ASM3248003v1_genomic	clu2
GCA_032483475.1_ASM3248347v1_genomic	clu2
GCA_032517785.1_ASM3251778v1_genomic	clu3
GCA_032517885.1_ASM3251788v1_genomic	clu2
GCA_034930535.1_ASM3493053v1_genomic	clu2
GCA_034930575.1_ASM3493057v1_genomic	clu2
GCA_034930645.1_ASM3493064v1_genomic	clu2
GCA_034930705.1_ASM3493070v1_genomic	clu2
GCA_034930805.1_ASM3493080v1_genomic	clu2
GCA_036347695.1_ASM3634769v1_genomic	clu2
GCA_037081805.1_ASM3708180v1_genomic	clu2
GCA_037491285.1_ASM3749128v1_genomic	clu2
GCA_037492235.1_ASM3749223v1_genomic	clu5
GCA_037492985.1_ASM3749298v1_genomic	clu5
GCA_037493815.1_ASM3749381v1_genomic	clu2
GCA_037494685.1_ASM3749468v1_genomic	clu5
GCA_037495355.1_ASM3749535v1_genomic	clu5
GCA_037496145.1_ASM3749614v1_genomic	clu2
GCA_037497135.1_ASM3749713v1_genomic	clu2
GCA_037497945.1_ASM3749794v1_genomic	clu5
GCA_037498835.1_ASM3749883v1_genomic	clu5
GCA_037499725.1_ASM3749972v1_genomic	clu5
GCA_037500615.1_ASM3750061v1_genomic	clu2
GCA_037501685.1_ASM3750168v1_genomic	clu2
GCA_037502555.1_ASM3750255v1_genomic	clu5
GCA_037503705.1_ASM3750370v1_genomic	clu2
GCA_037504455.1_ASM3750445v1_genomic	clu2
GCA_037505185.1_ASM3750518v1_genomic	clu2
GCA_037506515.1_ASM3750651v1_genomic	clu2
GCA_037514075.1_ASM3751407v1_genomic	clu4
GCA_037516445.1_ASM3751644v1_genomic	clu4
GCA_037517435.1_ASM3751743v1_genomic	clu4
GCA_037520035.1_ASM3752003v1_genomic	clu2
GCA_037521165.1_ASM3752116v1_genomic	clu2
GCA_037522075.1_ASM3752207v1_genomic	clu4
GCA_037522945.1_ASM3752294v1_genomic	clu2
GCA_037523885.1_ASM3752388v1_genomic	clu2
GCA_037524795.1_ASM3752479v1_genomic	clu5
GCA_900447035.1_48450_D02_genomic	clu1
GCA_900447065.1_48269_D01_genomic	clu1
GCA_900447095.1_50432_B01_genomic	clu1
GCA_900447105.1_51395_G01_genomic	clu1
GCA_900447135.1_52191_G01_genomic	clu3
GCA_900461035.1_48450_E02_genomic	clu1
GCA_900461135.1_50377_E01_genomic	clu1
GCA_900461145.1_50618_C02_genomic	clu1
GCA_900461235.1_50432_A01_genomic	clu1
GCA_900461295.1_48269_C01_genomic	clu1
GCA_900461325.1_45753_H01_genomic	clu1
GCA_900461395.1_48450_F02_genomic	clu1
GCA_900461415.1_48450_C02_genomic	clu1
GCA_900604525.1_cp508.17_genomic	clu4
GCA_900604545.1_cp515.17_genomic	clu4
GCA_901482515.1_44310_F02_genomic	clu1
GCA_902459435.1_Q061.2_genomic	clu4
GCA_902459515.1_NCTC8239_genomic	clu1
GCA_951335905.1_D13118_genomic	clu2
GCA_951336335.1_CN3948_genomic	clu2
GCA_951336695.1_Bar3_genomic	clu1
GCA_951336775.1_JGS4138_genomic	clu2
GCA_951336985.1_ATCC27324_genomic	clu2
GCA_951337265.1_CN4003_genomic	clu1
GCA_951337425.1_D13122_genomic	clu4
GCA_951338055.1_CP_PB-1_genomic	clu4
